user_pseudo_id,predicted_value,predicted_conversion,conversion_probability_group,probability_group
2002201670.1743552133,0.006,0,LOW,0-10%
18611074.1743946080,0.001,0,LOW,0-10%
741344313.1744140192,0.002,0,LOW,0-10%
1479042773.1740539529,0.004,0,LOW,0-10%
2099829368.1743846412,0.016,0,LOW,0-10%
1188536069.1744862620,0.059,0,LOW,0-10%
745457653.1744254265,0.006,0,LOW,0-10%
1918808342.1736809816,0.03434285714285714,0,LOW,0-10%
237437836.1743482632,0.001,0,LOW,0-10%
70256495.1743394168,0.001,0,LOW,0-10%
1735902130.1745132246,0.007,0,LOW,0-10%
1031278293.1744234145,0.004,0,LOW,0-10%
51679631.1741523376,0.001,0,LOW,0-10%
368022052.1744007238,0.004,0,LOW,0-10%
1137658344.1743333895,0.005,0,LOW,0-10%
1233773823.1744785011,0.001,0,LOW,0-10%
501957456.1732140175,0.018,0,LOW,0-10%
88623101.1744357783,0.021833333333333337,0,LOW,0-10%
1230898039.1744257883,0.002,0,LOW,0-10%
257734266.1744371525,0.009,0,LOW,0-10%
2041760085.1745298539,0.011,0,LOW,0-10%
1848242087.1740472255,0.018,0,LOW,0-10%
29683043.1740533860,0.008,0,LOW,0-10%
292853932.1721001544,0.001,0,LOW,0-10%
193905246.1744230489,0.023,0,LOW,0-10%
487016537.1743075985,0.009,0,LOW,0-10%
1318871083.1695812262,0.009,0,LOW,0-10%
72611411.1744513592,0.023,0,LOW,0-10%
1595384420.1742510348,0.009,0,LOW,0-10%
1876066666.1732775058,0.001,0,LOW,0-10%
802645624.1744008297,0.017,0,LOW,0-10%
418923101.1743315324,0.001,0,LOW,0-10%
1657444092.1744715928,0.004,0,LOW,0-10%
1669749940.1744868795,0.122,0,LOW,10-20%
103540729.1738476687,0.035,0,LOW,0-10%
1469209385.1713670378,0.003,0,LOW,0-10%
735457373.1744615993,0.005,0,LOW,0-10%
1076554221.1744105706,0.001,0,LOW,0-10%
1063341729.1661910887,0.129,0,LOW,10-20%
281857554.1743631619,0.001,0,LOW,0-10%
1598520118.1744282611,0.045,0,LOW,0-10%
1818283274.1743586238,0.005,0,LOW,0-10%
403425478.1743300770,0.001,0,LOW,0-10%
304626961.1742417347,0.0405,0,LOW,0-10%
587972216.1744784516,0.007,0,LOW,0-10%
167023508.1742977173,0.001,0,LOW,0-10%
903253317.1744329927,0.004,0,LOW,0-10%
1296630322.1744863465,0.016,0,LOW,0-10%
1030037355.1742959673,0.002,0,LOW,0-10%
708580481.1745298836,0.043,0,LOW,0-10%
1596298410.1744864246,0.036,0,LOW,0-10%
259962485.1744595939,0.00375,0,LOW,0-10%
1419461989.1743549976,0.01,0,LOW,0-10%
1771720586.1730231575,0.017,0,LOW,0-10%
2128338837.1744290815,0.021,0,LOW,0-10%
246138709.1744360248,0.001,0,LOW,0-10%
533921760.1743050890,0.001,0,LOW,0-10%
1398909391.1741999449,0.001,0,LOW,0-10%
177391183.1745298005,0.004,0,LOW,0-10%
1438689396.1743125473,0.009,0,LOW,0-10%
1680957262.1744380379,0.026,0,LOW,0-10%
1837797919.1744196164,0.004,0,LOW,0-10%
1052585255.1744938630,0.001,0,LOW,0-10%
1720957153.1744800196,0.004,0,LOW,0-10%
