conversion_flag,user_pseudo_id,device_category,operating_system,platform,city,browser,traffic_source,device_brand,cnt_page_views,cnt_sessions,cnt_site_search,cnt_download,cnt_form_step,cnt_form_step_life_plan,cnt_form_step_income_protection,cnt_form_step_duty_of_disclosure,cnt_form_step_personal_details,cnt_form_step_additional_information,cnt_form_step_assessment_summary,cnt_form_step_policy_owner_details,cnt_form_step_commencement_commissions,cnt_form_step_policy_declaration,cnt_form_step_medical_consent,cnt_form_step_submission_instructions,cnt_form_step_submit_application,cnt_form_step_standalone_ci
0,672139701.1745082687,mobile,Android,WEB,Sydney,Samsung Internet,cpc,,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1790154556.1745139806,desktop,Macintosh,WEB,Romans-sur-Isere,Safari,cpc,Apple,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1362946602.1745122937,desktop,Windows,WEB,Beachmere,Chrome,organic,Google,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2118719559.1724924091,desktop,Windows,WEB,Adelaide,Edge,(none),Microsoft,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2118574488.1745140529,mobile,iOS,WEB,Rockhampton,Safari,cpc,Apple,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1451061144.1745094264,mobile,iOS,WEB,Melbourne,Safari,cpc,Apple,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1903177427.1745071248,mobile,iOS,WEB,,Safari,referral,Apple,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,746820642.1745140841,mobile,iOS,WEB,Sydney,Safari,cpc,Apple,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,868974182.1744701941,mobile,iOS,WEB,Gold Coast,Safari,Data Not Available,Apple,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1207392184.1744687287,desktop,Windows,WEB,Sydney,Chrome,(none),Google,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
