conversion_flag,user_pseudo_id,device_category,operating_system,platform,city,browser,traffic_source,device_brand,cnt_page_views,cnt_sessions,cnt_site_search,cnt_download,cnt_form_step,cnt_form_step_life_plan,cnt_form_step_income_protection,cnt_form_step_duty_of_disclosure,cnt_form_step_personal_details,cnt_form_step_additional_information,cnt_form_step_assessment_summary,cnt_form_step_policy_owner_details,cnt_form_step_commencement_commissions,cnt_form_step_policy_declaration,cnt_form_step_medical_consent,cnt_form_step_submission_instructions,cnt_form_step_submit_application,cnt_form_step_standalone_ci
0,1095797823.1726614319,desktop,Windows,WEB,Sydney,Edge,organic,Microsoft,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1684620803.1744355138,desktop,Windows,WEB,Perth,Edge,(none),Microsoft,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1108570074.1744324184,mobile,Android,WEB,Melbourne,Samsung Internet,(none),,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1776555687.1744321991,mobile,iOS,WEB,Bungendore,Safari,(none),Apple,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,285526691.1744346313,desktop,Macintosh,WEB,Kyoto,Chrome,organic,Apple,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1704232209.1744269128,desktop,Windows,WEB,Melbourne,Chrome,organic,Google,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2105822516.1744335563,desktop,Macintosh,WEB,Melbourne,Safari,organic,Apple,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1015235343.1744343994,desktop,Windows,WEB,Melbourne,Edge,organic,Microsoft,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,498519360.1744351955,desktop,Windows,WEB,Sydney,Edge,organic,Microsoft,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,858995956.1744352293,desktop,Windows,WEB,,Edge,referral,Microsoft,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,773494541.1743589173,desktop,Windows,WEB,Toowoomba,Edge,referral,Microsoft,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0,179513977.1743554770,desktop,Windows,WEB,Melbourne,Edge,cpc,Microsoft,16,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,166735691.1744263228,desktop,Windows,WEB,Brisbane,Chrome,cpc,Google,5,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1930692665.1744352789,mobile,iOS,WEB,Sydney,Safari,cpc,Apple,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,679108879.1744340082,mobile,iOS,WEB,Mackay,Safari,cpc,Apple,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1095743964.1744178025,desktop,Windows,WEB,Sydney,Edge,(none),Microsoft,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1209253775.1744185694,desktop,Macintosh,WEB,Perth,Safari,(none),Apple,40,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,180974510.1744155248,desktop,Windows,WEB,Melbourne,Chrome,(none),Google,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,32521034.1744178452,mobile,iOS,WEB,Sale,Safari,organic,Apple,37,6,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0
0,220836978.1744199244,desktop,Windows,WEB,Perth,Chrome,organic,Google,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,305966824.1744160880,mobile,Android,WEB,Perth,Chrome,organic,Samsung,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,113836803.1741837406,desktop,Windows,WEB,Melbourne,Chrome,organic,Google,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1875808659.1744174355,desktop,Windows,WEB,Hyderabad,Chrome,referral,Google,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,855389631.1744164924,desktop,Macintosh,WEB,Melbourne,Chrome,cpc,Apple,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,417668636.1744171172,mobile,Android,WEB,Perth,Firefox,cpc,Mozilla,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2054356271.1744156353,desktop,Windows,WEB,Brisbane,Chrome,cpc,Google,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,66866965.1744149403,mobile,iOS,WEB,Bendigo,Safari,cpc,Apple,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,569073226.1743471490,desktop,Linux,WEB,Sydney,Chrome,(none),Google,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1407006119.1743430363,mobile,Android,WEB,,Chrome,(none),Google,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,924791604.1743489036,desktop,Macintosh,WEB,Brisbane,Firefox,organic,Apple,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1562579810.1743492935,desktop,Windows,WEB,Brisbane,Edge,(none),Microsoft,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0,497269844.1743461511,desktop,Windows,WEB,Sydney,Edge,(none),Microsoft,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,844418434.1743469592,desktop,Windows,WEB,Melbourne,Chrome,organic,,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,925725081.1716788014,desktop,Windows,WEB,Sydney,Chrome,(none),Google,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1373028234.1743472867,mobile,Android,WEB,Brisbane,Chrome,(none),Motorola,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1418581752.1743476720,mobile,Android,WEB,Sydney,Chrome,Data Not Available,Samsung,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
